"Manage Reminders","Управление напоминаниями"
Send,Отправить
"Edit Reminder '%1'","Отодвите напоминание '%1'"
"Reminder Information","Информация напоминания"
"Customer Name","Имя клиента"
"Customer Email","Электронная почта клиента"
"Review Status","Статус обзора"
"Order Products","Заказать продукты"
Run,Запустить
"Reminder was deleted.","Напоминание было удалено."
"Can't find a reminder to delete.","Не усомнитесь в удалении напоминания."
"Review Reminders","Напоминания о просмотре"
"This reminder no longer exists.","Это напоминание больше не существует."
"Edit Reminder","Напоминание отсылки"
"Please select store view(s)","Пожалуйста, выберите вид магазина (ы)"
"Please enter correct date in YYYY-MM-DD format","Пожалуйста, введите правильную дату в формате YYYY-MM-DD"
"Please select item(s).","Пожалуйста, выберите товар (ы)."
"Something went wrong while sending the reminder.","Что-то пошло не так при отправке напоминания."
"A total of %1 reminders have been sent.","В общей сложности 01 напоминания были отправлены."
"A total of %1 record(s) have been changed.","В общей сложности %1 запись (ы) были изменены."
"Reminder has been saved.","Напоминание сохранено."
"Something went wrong while saving the reminder.","Что-то пошло не так, сохраняя напоминание."
"Reminder has been sent.","Напоминание отправлено."
"Unable to find a reminder to send.","Не удается найти напоминание для отправки."
"Last year","В прошлом году"
"Last month","В прошлом месяце"
"Last week","На прошлой неделе"
"From custom date","Из пользовательской даты"
"Not reviewed","Не рассмотрено"
Reviewed,Отзывы
"Customer not found","Клиент не найден"
"Write review","Написать отзыв"
Hello,Привет
"You\'ve recently bought %products_list what do you think about it?","Вы недавно купили %products_list что вы думаете об этом?"
"An error occured:",Ошибка:
"Completed. {count} items were processed","Завершена. Элементы «счет» были обработаны"
Success,Успех
"Review Reminder","Обзор Напоминание"
"Number of emails to send per cron iteration","Количество писем для отправки на итерацию cron"
"Default reminder status","Статус напоминания по умолчанию"
"Email Settings","Настройки электронной почты"
"Send email from","Отправить электронное письмо от"
"Email subject","Тема электронной почты"
"Send email after, days","Отправить электронную почту после, дней"
"Process orders","Заказы на процесс"
"Consider orders with status","Рассмотрите заказы со статусом"
"Manual orders indexing","Индексация ручных заказов"
"Index orders created","Созданные индексные заказы"
"Custom date","Пользовательская дата"
"Index orders made in store(s)","Индексные заказы, сделанные в магазине (ы)"
"Delete items","Удаление элементов"
"Send items","Отправка элементов"
"Are you sure you want to send selected reminders?","Вы уверены, что хотите отправить выбранные напоминания?"
"Are you sure you want to change selected reminders status?","Вы уверены, что хотите изменить статус выбранных напоминаний?"
