"Record was deleted.","L’enregistrement a été supprimé."
"Can't find a record to delete.","Impossible de trouver un enregistrement à supprimer."
SoldTogether,VenduTogether
"Customers Who Bought This Item Also Bought","Les clients qui ont acheté cet article ont également acheté"
"Please correct the data sent.","Veuillez corriger les données envoyées."
"Something went wrong while saving the page.","Quelque chose s’est mal passé en sauvant la page."
"We couldn't find any customers","Nous n’avons pas pu trouver de clients"
"All Customer Orders have been indexed.","Toutes les commandes des clients ont été indexées."
"Frequently Bought Together","Fréquemment achetés ensemble"
"We couldn't find any orders","Nous n’avons pas pu trouver d’ordres"
"All Orders have been indexed.","Toutes les commandes ont été indexées."
"This Item","Cet article"
"Add All to Cart","Ajouter le tout au chariot"
Swissup,"Swissup (Swissup)"
Enabled,Activé
"Count Products to Display","Compter les produits à afficher"
"Index Customer Orders","Index Commandes clients"
"Related Product Name","Nom du produit connexe"
"Is Admin","Est Admin"
"Index Orders","Commandes indiciels"
"Customers who bought this product also commonly purchased the following combination of items","Les clients qui ont acheté ce produit ont également acheté la combinaison suivante d’articles"
"Customers Who Bought This Item(s) Also Bought","Les clients qui ont acheté cet article(s) ont également acheté"
"Email Blocks Settings","Blocages d’email Paramètres"
"Frequently Bought Together Count Products to Display","Fréquemment achetés ensemble compter les produits à afficher"
"Customer Bought Together Count Products to Display","Client acheté ensemble compter les produits à afficher"
"List random products for empty collections","Liste des produits aléatoires pour les collections vides"
"Show Out Of Stock Products","Afficher les produits en rupture de stock"
