"Save Link","حفظ الارتباط"
"The link has been deleted.","تم حذف الارتباط."
"Unable to find a link to delete.","تعذر العثور على رابط لحذفه."
"Edit Link","تحرير الارتباط"
"New Link","رابط جديد"
"Manage Links","إدارة الروابط"
"HTML Sitemap","خريطة موقع HTML"
"Link has been saved.","تم حفظ الارتباط."
"Something went wrong while saving the link.","حدث خطأ ما أثناء حفظ الارتباط."
"2 Columns","2 أعمدة"
"4 Columns","4 أعمدة"
"Link was not registered","لم يتم تسجيل الارتباط"
"Sitemap Page Title","عنوان صفحة خريطة الموقع"
"Sitemap Meta Description","وصف ميتا خريطة الموقع"
"Sitemap Meta Keywords","الكلمات الرئيسية ميتا خريطة الموقع"
"Sitemap Content Settings","إعدادات محتوى خريطة الموقع"
"Show Stores on Sitemap","إظهار المتاجر على خريطة الموقع"
"Show Categories on Sitemap","إظهار الفئات على خريطة الموقع"
"Max Categories Depth","الحد الأقصى لعمق الفئات"
"Use 0 for all levels","استخدام 0 لجميع المستويات"
"Show Products on Sitemap","إظهار المنتجات على خريطة الموقع"
"Show Out of Stock Products","إظهار منتجات المخزون"
"Sort Products and Categories By","فرز المنتجات والفئات حسب"
"Number of Columns","عدد الأعمدة"
"Group Links by First Letter","روابط المجموعة حسب الرسالة الأولى"
"Show CMS Pages on Sitemap","إظهار صفحات CMS على خريطة الموقع"
"Exclude CMS Pages","استبعاد صفحات CMS"
"Show Custom Links on Sitemap","إظهار الروابط المخصصة على خريطة الموقع"
"To add custom links go Swissup > HTML Sitemap Links ","لإضافة روابط مخصصة انتقل Swissup > روابط خريطة الموقع HTML "
"Are you sure you want to enable selected items?","هل أنت متأكد من أنك تريد تمكين العناصر المحددة؟"
"Are you sure you want to disable selected items?","هل أنت متأكد من أنك تريد تعطيل العناصر المحددة؟"
"Link Information","معلومات الارتباط"
"CMS Pages","صفحات CMS"
"Other Pages","صفحات أخرى"
